檔名,內容
150.txt,"運氣這東西，得來全靠運氣。"
151.txt,"我在我生日當天出生的。"
152.txt,"我會長話短說，但這件事說來話長。"
153.txt,"蟬的翅膀很薄，薄如蟬翼。"
154.txt,"如果我沒猜錯的話，那我肯定是猜對了。"
155.txt,"當你越過了喜馬拉雅山，你就擁有了越過喜馬拉雅山的能力。"
156.txt,"這事但凡有一點意義也不至於一點意義都沒有。"
157.txt,"沒有對象的人，應該還是單身吧。"
158.txt,"當你還能感受到自己在呼吸時，就代表你活著。"
159.txt,"這麼晚還沒睡的人應該還沒睡吧!"
160.txt,"萬里無雲的天空中沒有一點雲彩。"
161.txt,"總會習慣不習慣的習慣。"
162.txt,"這位死者的狀態已經死了。"
163.txt,"股票的規律找到了，不是漲就是跌。"
164.txt,"當你的左臉被打，你的右臉就不會痛。"
165.txt,"當你的左臉被打，你的左臉就會痛。"
166.txt,"能說出這種話的人，一定能說出這種話。"
167.txt,"人在繃不住的時候，是繃不住的。"
168.txt,"經過嚴密的調查，發現調查的不夠嚴密。"
169.txt,"我一定能活到死。"
170.txt,"據我所知，我一無所知。"
171.txt,"小心我一通電話打給你打過去你電話就響了。"
172.txt,"如果你吃飽了，那你就不餓了。"
173.txt,"如果不出意外的話，應該是出意外了。"
174.txt,"我記得小時候好像是小時候的事兒呢。"
175.txt,"閉上眼睛後，眼前一片漆黑什麼也看不見。"
176.txt,"這事兒看起來很難，其實一點也不簡單。"
177.txt,"當你在睡覺休息時，美國人正勤奮的在工作。"
178.txt,"紅色之所以是紅色，是因為它既不是藍色也不是綠色。"
179.txt,"當我不講話的時候就是我安靜的時候。"
180.txt,"如果三角龍有四隻角，就會被叫四角龍了。"
181.txt,"如果你發現有人在偷看你，那代表你也在偷看別人。"
182.txt,"研究指出，過越多次生日的人越長壽。"
183.txt,"你要學好英文，不然連美國的小學生英文都比你好。"
184.txt,"某主播：颱風以時速20公里朝西北移動，過去一小時移動了20公里左右"
185.txt,"誰能想的到，這名16歲少女，在四年前，只是一名12歲少女。"
186.txt,"人被殺，就會死。"
187.txt,"凡是每天喝水的人，有高機率在100年內死去。"
188.txt,"當你吃下二十碗白飯，換算竟相當於吃下了二十碗白飯的熱量。"
189.txt,"根據統計 滿意指數低於9%，就代表有91%以上的人不滿意。"
190.txt,"只要每天省下買一杯奶茶的錢，十天後就能買十杯奶茶。"
191.txt,"每出生一位新生兒，就增加一位媽媽。"
192.txt,"當你失眠的時候，你就會睡不著。"
193.txt,"在人生中，有時候一旦失足，就會扭到腳。"
